action,group
ActionSuspendOnePartner,OrganizationView
ActionUpdatePartnership,OrganizationView
ActionConfirmCreatePerm,UserCreate
ActionCreateAddData,UserCreate
ActionCreatePerm,UserCreate
ActionDeletePermPop,UserCreate
ActionDeletePermission,UserCreate
ActionDisplayUpdatePerm,UserView
ActionAssignUserPref,UserUpdate
ActionRemoveOneUserPref,UserUpdate
ActionUpdateOneUserPref,UserUpdate
ActionViewAssignUserPref,UserUpdate
ActionCreatePref,UserCreate
ActionCreatePrefPop,UserCreate
ActionDisplayPrefValue,UserView
ActionDisplayPrefValueConsumers,UserView
ActionAddPermissionToRole,UserUpdate
ActionAddRmPermissions,UserUpdate
ActionCreateGlobalRole,UserCreate
ActionCreateRole,UserCreate
ActionCreateRole2,UserCreate
ActionCreateUnitaryRole,UserCreate
ActionDuplicateRole,UserUpdate
ActionDuplicateRoleUnitary,UserUpdate
ActionSaveAddRemovePermissions,UserUpdate
ActionDisplayRolesForPerm,UserView
ActionFilterGlobalRoles,UserView
ActionFilterOneRolePerms,UserView
ActionFilterPermissionforApp,UserView
ActionAddRmSubRole,UserUpdate
ActionAddRoleToComposite,UserUpdate
ActionAssignACLtoRole,ACL
ActionCreateCompositeRole,UserCreate
ActionDelRolesStep1,UserCreate
ActionDelRolesStep2,UserCreate
ActionDuplicateRoleCompositeGlobal,UserCreate
ActionEnterAsACLtoRole,ACL
ActionEnterAssignACL,ACL
ActionEnterDispDataDetails,UserView
ActionEnterRmACLtoRole,ACL
ActionRemoveACLtoRole,ACL
ActionRemovePermissionToRole,UserUpdate
ActionRemoveRoleToComposite,UserUpdate
ActionSaveAddRemoveSubRole,UserUpdate
ActionSearchACLForRole,UserUpdate
ActionSearchGlobalRolesACL,UserUpdate
ActionSearchParentRole,UserUpdate
ActionUpdateRole,UserUpdate
ActionUpdateRoleStep1,UserUpdate
ActionAddSAPCmd,Application
ActionCreateSAP,Application
ActionCreateSAPConf,Application
ActionDisplaySAP,Application
ActionDuplicateSAPCmd,Application
ActionUpdateSAPCmd,Application
ActionDisplayDirectTFARule,Application
ActionDisplayInheritedTFARule,Application
ActionPopupAddNewAppSecuRule,Application
ActionPopupEditDirectTFARule,Application
ActionPopupEditInheritedTFARule,Application
ActionRemoveGUIRule,Application
ActionSearchInheritedTFARule,Application
ActionUpdateGUIRule,Application
ActionValidateCreateTFARule,Application
ActionVdtDuplicateGuiRule,Application
ActionCreateRightsTempl,Data
ActionCreateTemplate,Data
ActionDeleteTemplate,Data
ActionLoadRightsTemplate,Data
ActionLoadTemplate,Data
ActionSaveRightsTemplate,Data
ActionSaveTemplate,Data
ActionAddNewLoginArea,UserCreate
ActionAssignACLStep3,ACL
ActionAssignAcl1,ACL
ActionAssignAcl2,ACL
ActionAssignRole1,UserUpdate
ActionAssignRole2,UserUpdate
ActionAssignRoleAclConfirmation1,ACL
ActionAssignRoleAclConfirmation2,ACL
ActionAssignRoleAclConfirmation3,ACL
ActionCreateLoginArea,UserCreate
ActionCreateUser,UserCreate
ActionDeleteDisplayedUser,UserCreate
ActionDeleteLoginArea,UserCreate
ActionDeleteUser,UserCreate
ActionDisplayOneOffice,Office
ActionDisplayOneUser,UserView
ActionFilterAssignACLStep2,ACL
ActionNotifyDisplayedUser,UserUpdate
ActionResetPwdUnlock,UserUpdate
ActionSearchOffice,Office
ActionSearchRoleForAssignRoleAcl,ACL
ActionSearchUsr,UserView
ActionUpdateUserDetails,UserUpdate
ActionWarningDeleteUser,UserCreate
ActionDelACLStep1,ACL
ActionDelACLStep2,ACL
ActionDisplayACLConsumers,ACL
ActionDisplayACLPartnerships,ACL
ActionDisplayRelatedACL,ACL
ActionSearchACLForApp,ACL
ActionAddWebsOrg,OrganizationCreate
ActionAuthenticationHistorySearch,History
ActionDeleteLoginAreaRobotic,Application
ActionDisplayWebsOrg,OrganizationView
ActionEnterFileDownload,Data
ActionFilterDelPtsByOgu,OrganizationView
ActionFilterHistory,History
ActionFilterMetagroups,Data
ActionFilterRecPtsByOgu,OrganizationView
ActionManageMetagroup,Data
ActionRSOoneUser,Application
ActionReloadRfdSecServers,Application
ActionSearchLssMultipeak,Application
ActionSrcMaskOffice,Office
ActionStartBSPLink,Application
ActionStopBSPLink,Application
ActionUpdateAppPop,Application
ActionUpdateOfficeProfile,Office
